"cidade";"ID"
"Porto Velho (RO)";"EMEI MAE MARGARIDA (11049740)"
"Porto Velho (RO)";"EMEI ENG� WALMER ADAO DENNY SIQUEIRA (11050039)"
"Porto Velho (RO)";"EMEI PROFESSORA RONILZA CORDEIRO AFONSO DIAS (11050179)"
"Porto Velho (RO)";"EMEI PROFESSOR FRANCISCO MARTO DE AZEVEDO (11050470)"
"Porto Velho (RO)";"EMEI PADRE ZENILDO GOMES DA SILVA (11050551)"
"Porto Velho (RO)";"EMEI PROFESSORA LAUDICEIA MARIA LISBOA MONTEIRO (11050691)"
"Porto Velho (RO)";"EMEI JUDITH HOLDER (11050721)"
"Porto Velho (RO)";"EMEF MARIA FRANCISCA DE JESUS GONCALVES (11050748)"
"Porto Velho (RO)";"EMEF TAQUARA (11116811)"
"Porto Velho (RO)";"EMEIEF SOM DA CRAVIOLA (11117800)"
"Porto Velho (RO)";"EMEF 15 DE NOVEMBRO (11117818)"
"Porto Velho (RO)";"EMEIEF TARUMA (11117826)"
"Porto Velho (RO)";"EMEF ENGENHO DO MADEIRA (11117834)"
"Porto Velho (RO)";"EMEIEF PE DE MURICI (11118814)"
"Porto Velho (RO)";"EMEIEF BELEZAS DO BURITI (11120819)"
"Marabá (PA)";"E M E F MARIA DE JESUS ALVES SOARES (15098397)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL SILOE (15098605)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL GABRIEL SALES PIMENTA (15098613)"
"Marabá (PA)";"NEI LIBERDADE (15098630)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL MARIA DA CONCEICAO SILVA PEREIRA (15098648)"
"Marabá (PA)";"NEI HENRIQUE CAMPOS SANTOS NASCIMENTO (15104230)"
"Marabá (PA)";"EMEF CRISTO REI (15104257)"
"Marabá (PA)";"E M E F ARCO IRIS II (15125556)"
"Marabá (PA)";"EMEF PROFESSORA ANA CREUSA DA SILVA BIZERRA (15127168)"
"Marabá (PA)";"N E I AUGUSTO BASTOS MORBACH (15127176)"
"Marabá (PA)";"EMEF MARTINHO MOTTA DA SILVEIRA (15127192)"
"Marabá (PA)";"E M E F ODILIO DA ROCHA MAIA (15127206)"
